Sentence,Paper Name,Intrinsic Hallucination,Extrinsic Hallucination,Aspect,Hallucination,Temperature
The motivation is to demonstrate the effectiveness of the proposed method in improving the performance of state-of-the-art VLA models.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,Yes,No,Motivation,1,0
To demonstrate the effectiveness of the proposed method in improving the performance of state-of-the-art VLA models.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Paper Goal,0,0
CoT-VLA is a state-of-the-art 7B VLA that incorporates visual chain-of-thought reasoning.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
The method operates in two phases: subgoal image generation and action generation.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
The subgoal image is generated as an intermediate step before action generation.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
CoT-VLA is a unified multimodal foundation model that includes a vision tower and a base model.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
The vision tower encodes visual inputs as discrete tokens and uses residual quantization to improve the representational capacity of visual features.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
"The base model is trained on multimodal pairs, including image, text, and video.",CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
CoT-VLA is trained on both robot demonstrations and action-less videos.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Methodology,0,0
The training objective is to minimize the cross-entropy loss for action predictions.,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,Yes,No,Methodology,1,0
CoT-VLA achieves the best,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,No,No,Main Results,0,0
The existing methods for video generation aim to generate intermediate frames by utilizing two key frames as input.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Motivation,0,0
"However, they still face challenges in maintaining temporal stability due to the ambiguous interpolation path between the two key frames.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Motivation,0,0
"To propose a novel method, FCVG, that provides an explicit condition for each frame, making it easier to identify the interpolation path between two input frames, thus ensuring temporally stable production of visually plausible video frames.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Paper Goal,0,0
"FCVG is a novel method that provides an explicit condition for each frame, making it easier to identify the interpolation path between two input frames, thus ensuring temporally stable production of visually plausible video frames.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Methodology,0,0
FCVG achieves a significant improvement in temporal stability compared to existing methods.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0
It demonstrates the capability to generate temporally stable videos using both linear and non-linear interpolation curves.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0
FCVG is implemented using the pre-trained GlueStick model for line matching and the DWPose model for estimating human poses.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Methodology,0,0
The inference process is done in 25 steps without noise re-injection.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Methodology,0,0
"FCVG is evaluated on diverse scenes, including natural landscapes, complex human poses, camera movements, and animations.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0
It achieves the best performance among four generative approaches across all the metrics.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0
"FCVG is compared with state-of-the-art optical flow-based interpolation methods, including FILM, DynamiCrafter, TRF, and GI.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,Yes,No,Main Results,1,0
"FCVG achieves superior performance in LPIPS, FID, VBench, and FVD metrics.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,Yes,No,Main Results,1,0
"FCVG provides an explicit condition for each frame, making it easier to identify the interpolation path between two input frames, thus ensuring temporally stable production of visually plausible video frames.",Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Contribution,0,0
It demonstrates the capability to generate temporally stable videos using both linear and non-linear interpolation curves.,Generative Inbetweening through Frame-wise Conditions-Driven Video Generation,No,No,Main Results,0,0
"To summarize the paper, we introduce CRISP, a category-agnostic object pose and shape estimation pipeline.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Contribution,0,0
We propose a self-training method CRISP-ST to bridge domain gaps.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Contribution,0,0
"CRISP-ST uses a correct-and-certify approach to self-train the model, which leverages the corrector to generate pseudo-labels at test-time.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0
"We demonstrate CRISP-ST on YCBV, SPE3R, and NOCS datasets.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0
CRISP-ST shows high performance on all three datasets.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"Moreover, we observe that CRISP-ST can generalize and estimate pose and shape of objects unseen during training, and performs inference at 8 Hz.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"The self-training pipeline is based on a correct-and-certify approach, which uses pseudo-labels to self-train the model.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0
"We demonstrate CRISP-ST on YCBV, SPE3R, and NOCS datasets.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0
CRISP-ST shows high performance on all three datasets.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"Moreover, we observe that CRISP-ST can generalize and estimate pose and shape of objects unseen during training, and performs inference at 8 Hz.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"The self-training pipeline is based on a correct-and-certify approach, which uses pseudo-labels to self-train the model.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0
"We demonstrate CRISP-ST on YCBV, SPE3R, and NOCS datasets.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0
CRISP-ST shows high performance on all three datasets.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"Moreover, we observe that CRISP-ST can generalize and estimate pose and shape of objects unseen during training, and performs inference at 8 Hz.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"The self-training pipeline is based on a correct-and-certify approach, which uses pseudo-labels to self-train the model.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0
"We demonstrate CRISP-ST on YCBV, SPE3R, and NOCS datasets.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0
CRISP-ST shows high performance on all three datasets.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"Moreover, we observe that CRISP-ST can generalize and estimate pose and shape of objects unseen during training, and performs inference at 8 Hz.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"The self-training pipeline is based on a correct-and-certify approach, which uses pseudo-labels to self-train the model.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0
"We demonstrate CRISP-ST on YCBV, SPE3R, and NOCS datasets.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0
CRISP-ST shows high performance on all three datasets.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"Moreover, we observe that CRISP-ST can generalize and estimate pose and shape of objects unseen during training, and performs inference at 8 Hz.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"The self-training pipeline is based on a correct-and-certify approach, which uses pseudo-labels to self-train the model.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Methodology,0,0
"We demonstrate CRISP-ST on YCBV, SPE3R, and NOCS datasets.",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,No,No,Main Results,0,0
CRISP-ST shows high performance on all three datasets.,CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"Moreover, we observe that CRISP-ST can generalize and estimate pose and shape of objects unseen during training, and performs inference at 8 Hz",CRISP: Object Pose and Shape Estimation with Test-Time Adaptation,Yes,No,Main Results,1,0
"The paper introduces ODE, an open-set dynamic evaluation protocol designed to evaluate object hallucinations in multimodal large language models (MLLMs).",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Contribution,0,0
"ODE employs a graph-based structure to represent real-world object concepts, their attributes, and distributional relationships.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Methodology,0,0
It dynamically generates test samples across different levels of difficulty (existence vs. attribute levels) to evaluate hallucinations in both generative and discriminative tasks.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,Yes,No,Methodology,1,0
"The protocol includes four stages: modeling real-world scenarios, constructing semantic scenes, generation and filtering of images, and evaluation of inquiries.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Methodology,0,0
"ODE is applied to both general and specialized domains, and its effectiveness is demonstrated through experiments on multiple MLLMs.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Main Results,0,0
"Addressing the Persistent Challenge of Hallucinations: MLLMs face the challenge of hallucinations, which can lead to data contamination and potential harm to models.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,Yes,No,Motivation,1,0
"Building on Existing Benchmarks: the existing benchmarks are static, which may overlook the potential risk of data contamination.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Motivation,0,0
Mitigating Data Contamination: ODE mitigates the risk of data contamination by dynamically generating samples.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Contribution,0,0
Enhancing Evaluation: ODE enhances the evaluation by dynamically generating diverse samples.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Contribution,0,0
Develop a New Benchmark: ODE is designed to evaluate object hallucinations in MLLMs.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Paper Goal,0,0
Provide a New Benchmark: ODE is designed to evaluate object hallucinations in MLLMs.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Paper Goal,0,0
Provide a New Benchmark: ODE is designed to evaluate object hallucinations in MLLMs.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Paper Goal,0,0
Provide a New Benchmark: ODE is designed to evaluate object hallucinations in MLLMs.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Paper Goal,0,0
"Graph-Based Conceptual Modeling: ODE uses a weighted graph G to model real-world scenes, facilitating the generation of diverse scenarios in subsequent stages.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Methodology,0,0
"Semantic Scene Construction: ODE selects two concept nodes at each step to form a pair, which is used as the content for the test image.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Methodology,0,0
Generation and Filtering of Images: ODE uses text-to-image generation models to generate ODE test images.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Methodology,0,0
Evaluation of Inquiries: ODE develops an evaluation Inquiry template to evaluate object-level and attribute-level hallucinations.,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Methodology,0,0
"Experiments: ODE is applied to multiple MLLMs, and its effectiveness is demonstrated through experiments.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Main Results,0,0
"Evaluation of Object Hallucinations: ODE is applied to multiple MLLMs, and its effectiveness is demonstrated through experiments.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Main Results,0,0
"Evaluation of Object Hallucinations: ODE is applied to multiple MLLMs, and its effectiveness is demonstrated through experiments.",ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Main Results,0,0
Evaluation of Object Hallucinations: ODE is applied,ODE: Open-Set Evaluation of Hallucinations in Multimodal Large Language Models,No,No,Main Results,0,0
"We introduce the first training-free approach for Video Semantic Segmentation (VSS) based on pre-trained diffusion models, termed VidSeg.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Contribution,0,0
A growing research direction attempts to employ diffusion models to perform downstream vision tasks by exploiting their deep understanding of image semantics.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Motivation,0,0
We tackle this problem by introducing a framework tailored for VSS based on pre-trained image and video diffusion models.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Contribution,0,0
"We propose building a scene context model based on the diffusion features, where the model is autoregressively updated to adapt to scene changes.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
This context model predicts per-frame coarse segmentation maps and is updated temporally.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
"To refine these maps further, we propose a correspondence-based refinement strategy that aggregates predictions temporally, resulting in more confident predictions.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
"Finally, we introduce a masked modulation approach to upsample the coarse maps to a high-quality full resolution.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
Experiments show that our proposed approach significantly outperforms existing training-free image semantic segmentation approaches on various VSS benchmarks without any training or fine-tuning.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Main Results,0,0
"Moreover, it rivals supervised VSS approaches on the VSPW dataset despite not being explicitly trained for VSS.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Main Results,0,0
The growing research direction in the field of image-based vision tasks such as semantic correspondence and keypoint detection has led to the development of diffusion models that can be used to perform downstream tasks.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,Yes,No,Motivation,1,0
"However, the majority of these approaches have focused on image-related tasks, such as semantic segmentation, with less emphasis on video tasks like VSS.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Motivation,0,0
The lack of modeling of temporal information in video data has led to subpar performance on VSS tasks.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Motivation,0,0
We aim to provide a training-free approach for VSS based on pre-trained diffusion models.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Paper Goal,0,0
We propose a framework tailored for VSS based on pre-trained image and video diffusion models.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Paper Goal,0,0
We aim to improve temporal consistency by using the spatial features of the diffusion models.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Paper Goal,0,0
We aim to improve temporal consistency by using the temporal features of the diffusion models.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,Yes,No,Paper Goal,1,0
We build a scene context model based on the diffusion features of the pre-trained image or video diffusion models.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
This model predicts per-frame coarse segmentation maps and is autoregressively updated to adapt to scene changes.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
"We propose a correspondence-based refinement strategy that aggregates predictions temporally, resulting in more confident predictions.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
We introduce a masked modulation approach that upsample the coarse maps to a high-quality full resolution.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0
We evaluate the proposed approach against existing training-free image semantic segmentation methods by adapting them to the VSS setting.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Main Results,0,0
We implement the proposed approach on various VSS benchmarks and evaluate it against existing training-free image semantic segmentation,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Main Results,0,0
The primary motivation for this paper is to develop a novel approach for accurate and fast indoor surface reconstruction using 3D planes as the primary objective.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Motivation,0,0
"The authors aim to leverage the advantages of 3D planes, such as their compactness and structural expressiveness, to improve the quality and speed of indoor surface reconstruction.",PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Motivation,0,0
The authors aim to develop a novel approach for accurate and fast indoor surface reconstruction using 3D planes as the primary objective.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Paper Goal,0,0
"The authors introduce a new approach called PlanarSplatting, which explicitly optimizes rectangular 3D plane primitives in 3D space by splatting them into 2.5D depth and normal maps.",PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Methodology,0,0
The authors use a differentiable plane rendering approach to learn the optimal 3D plane primitives directly from the input images.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Methodology,0,0
"The authors demonstrate that their PlanarSplatting approach is able to reconstruct accurate and complete indoor surface scenes in 3 minutes, achieving significant improvements in both geometric accuracy and rendering quality.",PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Main Results,0,0
"They also demonstrate that their approach is able to improve the rendering quality of multiple scenes, such as ScanNetV2 and ScanNet++.",PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,Yes,No,Main Results,1,0
The authors compare their PlanarSplatting approach with other state-of-the-art methods on two large indoor datasets (ScanNetV2 and ScanNet++).,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Main Results,0,0
They show that their approach is able to achieve the best results in terms of both geometry quality and rendering quality.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Main Results,0,0
The authors conclude that their PlanarSplatting approach is a novel and effective approach for accurate and fast indoor surface reconstruction using 3D planes as the primary objective.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0
The authors recommend that researchers continue to explore the use of 3D planes as a new and useful tool for indoor surface reconstruction.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,Yes,Contribution,1,0
The paper introduces a set of key insights about the impact of the probe dataset on concept-based interpretability methods.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Contribution,0,0
"The authors identify and analyze three commonly overlooked factors in concept-based explanations: the choice of the probe dataset, the use of concepts within explanations, and the complexity of the explanations.","Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Paper Goal,0,0
"They find that the choice of the probe dataset has a profound impact on the generated explanations, and that the use of concepts within explanations is not always beneficial.","Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Main Results,1,0
"The authors also identify and analyze the limitations of existing concept-based methods, such as the use of hundreds or even thousands of concepts, and the difficulty of learning some concepts.","Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Main Results,0,0
The authors argue that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are generalizable outside the probe dataset.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Contribution,1,0
They also provide a user interface for the analysis code.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Contribution,0,0
The authors argue that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are generalizable outside the probe dataset.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Motivation,1,0
They argue that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are generalizable outside the probe dataset.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Motivation,1,0
The authors aim to identify and analyze the factors that influence the use of the probe dataset in concept-based interpretability methods.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,Yes,Paper Goal,1,0
"The authors use a CVPR paper as the Open Access version, provided by the Computer Vision Foundation.","Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,Yes,Methodology,1,0
They exclude the watermark and the final published version of the proceedings.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,Yes,Methodology,1,0
They conduct a human study with 125 participants recruited from Amazon Mechanical Turk to understand the impact of the probe dataset on concept-based explanations.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Methodology,1,0
"They use multiple probe datasets (ADE20k, Pascal, CUB-200-2011) to compare the impact of the probe dataset on concept-based explanations.","Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Methodology,0,0
"They use the probe dataset to generate explanations, and analyze the generated explanations to identify the factors that influence the use of the probe dataset.","Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Methodology,0,0
The authors find that the choice of the probe dataset has a profound impact on the generated explanations.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,No,Main Results,0,0
They find that the use of concepts within explanations is not always beneficial.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Main Results,1,0
They find that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are generalizable outside the probe dataset.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Main Results,1,0
They find that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are generalizable outside the probe dataset.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Main Results,1,0
The authors identify and analyze the factors that influence the use of the probe dataset in concept-based interpretability methods.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",No,Yes,Contribution,1,0
They argue that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are generalizable outside the probe dataset.,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Contribution,1,0
They argue that the use of the probe dataset should be carefully chosen to ensure that the generated explanations are,"Overlooked Factors in Concept-based Explanations: Dataset Choice, Concept Learnability, and Human Capability",Yes,No,Contribution,1,0
Humans universally dislike the task of cleaning up a messy room.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Motivation,0,0
"We need methods that understand human criteria for regular room rearrangements, such as symmetry, co-linearity, co-circularity, spacing uniformity, and inter-object relationships.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Motivation,0,0
"We present LEGO-Net, a data-driven iterative method for LEarning reGular rearrangement of Objects in messy rooms.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Paper Goal,0,0
LEGO-Net is a data-driven transformer-based iterative method for LEarning reGular rearrangement of Objects in messy rooms.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Methodology,0,0
LEGO-Net successfully learns the complex regularity rules as demonstrated by the iterative denoising results shown on the right.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
It is able to reliably rearrange room scenes and outperform other methods.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
"The existing methods for scene synthesis from scratch, where humans input the initial messy state, or the goal state, are not suitable for the task of room rearrangement.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Motivation,1,0
"We present LEGO-Net, a data-driven iterative method for LEarning reGular rearrangement of Objects in messy rooms.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Paper Goal,0,0
LEGO-Net successfully learns the complex regularity rules as demonstrated by the iterative denoising results shown on the right.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
It is able to reliably rearrange room scenes and outperform other methods.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
"The existing methods for scene synthesis from scratch, where humans input the initial messy state, or the goal state, are not suitable for the task of room rearrangement.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Motivation,1,0
"We present LEGO-Net, a data-driven iterative method for LEarning reGular rearrangement of Objects in messy rooms.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Paper Goal,0,0
LEGO-Net successfully learns the complex regularity rules as demonstrated by the iterative denoising results shown on the right.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
It is able to reliably rearrange room scenes and outperform other methods.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
"The existing methods for scene synthesis from scratch, where humans input the initial messy state, or the goal state, are not suitable for the task of room rearrangement.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Motivation,1,0
"We present LEGO-Net, a data-driven iterative method for LEarning reGular rearrangement of Objects in messy rooms.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Paper Goal,0,0
LEGO-Net successfully learns the complex regularity rules as demonstrated by the iterative denoising results shown on the right.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
It is able to reliably rearrange room scenes and outperform other methods.,LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Main Results,0,0
"The existing methods for scene synthesis from scratch, where humans input the initial messy state, or the goal state, are not suitable for the task of room rearrangement.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,Yes,No,Motivation,1,0
"We present LEGO-Net, a data-driven iterative method for LEarning reGular rearrangement of Objects in messy rooms.",LEGO-Net: Learning Regular Rearrangements of Objects in Rooms,No,No,Paper Goal,0,0
Traditional 3D scene understanding approaches rely on labeled 3D datasets to train a model for a single task with supervision.,OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Motivation,0,0
"We propose OpenScene, an alternative approach where a model predicts dense features for 3D points that are co-embedded with text and image pixels in CLIP feature space.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Contribution,0,0
This zero-shot approach enables taskagnostic training and open-vocabulary queries.,OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Contribution,0,0
"For example, to perform SOTA zero-shot 3D semantic segmentation, we first infer CLIP features for every 3D point and then classify them based on similarities to embeddings of arbitrary class labels.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Methodology,0,0
"More interestingly, it enables a suite of open-vocabulary scene understanding applications that have never been done before.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Contribution,0,0
"For example, it allows a user to enter an arbitrary text query and then see a heat map indicating which parts of a scene match.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Main Results,0,0
"Our approach is effective at identifying objects, materials, affordances, activities, and room types in complex 3D scenes, all using a single model trained without any labeled 3D data.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Main Results,0,0
"To investigate how to use pre-trained textimage embedding models (e.g., CLIP [43]) to assist in 3D scene understanding.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Paper Goal,0,0
"This paper introduces OpenScene, a zero-shot method for extracting 3D dense features from an open vocabulary embedding space using multi-view fusion and 3D convolution.",OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Contribution,0,0
We demonstrate that the extracted features can be used for 3D semantic segmentation with performance better than fully supervised methods for rare classes.,OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Main Results,0,0
An overview of our approach is illustrated in Fig. 3.,OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Methodology,0,0
We first compute per-pixel features for every image using a model pre-trained for open-vocabulary 2D semantic segmentation.,OpenScene: 3D Scene Understanding with Open Vocabularies,No,No,Methodology,0,0
